,missing_count,missing_pct
row_id,0,0.0
study_id,0,0.0
product_system,0,0.0
adjustment_scope,0,0.0
data_origin,0,0.0
is_empirical_ground_truth,0,0.0
generation_method,0,0.0
source_doi,0,0.0
source_url,0,0.0
source_location,0,0.0
factor_1_name,0,0.0
factor_1_value,0,0.0
factor_1_unit,0,0.0
factor_2_name,0,0.0
factor_2_value,0,0.0
factor_2_unit,0,0.0
factor_3_name,0,0.0
factor_3_value,0,0.0
factor_3_unit,0,0.0
process_homogenization_rpm,153,100.0
process_addition_temp_C,153,100.0
process_mix_duration_min,153,100.0
process_final_homogenization_rpm,153,100.0
hydration_ratio,0,0.0
stickiness_score_0_10,0,0.0
oiliness_score_0_10,0,0.0
consistency_index,0,0.0
pH,153,100.0
viscosity_Pa_s,153,100.0
viscosity_cP,153,100.0
droplet_size_nm,153,100.0
adhesiveness_Nmm,153,100.0
work_of_adhesion_mNm,153,100.0
instability_index,153,100.0
Gstar_Pa,153,100.0
firmness_g,153,100.0
adhesive_force_g,153,100.0
spreadability_Ns,153,100.0
friction_coefficient,153,100.0
response_sd_available,0,0.0
synthetic_validity_rule,0,0.0
training_role,0,0.0
validation_role,0,0.0
critical_note,0,0.0
